dist,under_h0,n,estimator,q,weight,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin_pyomo,2,gauss_1.0,0.0,0.5525,0.01555841618291395,0.8227368500003649,0.03558157027156829,10,0.0
"Cauchy(loc=2.0,scale=1.0)",True,40,argmin_pyomo,2,gauss_1.0,0.0,0.5475,0.024968253687730698,0.915984269999899,0.032335746374128956,10,0.0
"Gamma(k=2.0,s=1.0)",False,20,argmin_pyomo,2,gauss_1.0,0.3,0.2775,0.016789234169236642,0.8558621899992431,0.026307325787530624,10,0.14491376746189438
"Gamma(k=2.0,s=1.0)",False,40,argmin_pyomo,2,gauss_1.0,0.2,0.155,0.010182915527866926,0.7707923599995411,0.030593773808846925,10,0.1264911064067352
"Pareto(a=3.0,s=1.0)",False,20,argmin_pyomo,2,gauss_1.0,0.0,0.315,0.0013448845075475706,0.8373897900000884,0.04350395011370471,10,0.0
"Pareto(a=3.0,s=1.0)",False,40,argmin_pyomo,2,gauss_1.0,0.1,0.215,0.0029057472220670936,0.6973200999997061,0.12327340545086594,10,0.09486832980505139
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,2,gauss_1.0,0.0,0.5925,0.00036276606969138086,2.4326794399999927,0.3979634335516074,10,0.0
"Uniforme(1.0,3.0)",True,40,argmin_pyomo,2,gauss_1.0,0.1,0.5025000000000001,0.000391811963251536,0.9672724799998832,0.42396224330464977,10,0.09486832980505139
"Weibull(k=1.5,s=1.0)",False,20,argmin_pyomo,2,gauss_1.0,0.0,0.22000000000000003,0.0047630799611521925,0.7901490200001717,0.0195150062554111,10,0.0
"Weibull(k=1.5,s=1.0)",False,40,argmin_pyomo,2,gauss_1.0,0.2,0.1025,0.0018433650317964084,0.8181954999996378,0.034245548955116584,10,0.1264911064067352
