dist,under_h0,n,estimator,q,weight,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,1,0.003414824380800572,0.76,False,1.895828528576234,0.9173804000001837
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,0,0.004531227305356779,0.53,False,2.069352704552993,0.9380407000007835
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,2,0.0035234128828161553,0.82,False,1.980604972866766,0.9293443999995361
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,3,0.0012123685571776032,0.875,False,1.8556434695346593,0.8979141999989224
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,6,0.011750802717048973,0.175,False,1.8817329052158913,0.8766950000008364
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,7,0.006286439142761348,0.51,False,1.9736387704809941,0.8810162999998283
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,5,0.010835717976444916,0.33,False,2.176849164359419,0.8699106000003667
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,4,0.006455976403066463,0.37,False,1.9422683536502066,0.90048939999906
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,9,0.011518243250917375,0.08,False,2.213662668676131,0.8607099999990169
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,8,0.001927697330088943,0.855,False,1.9335844373722262,0.9076834000006784
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,10,0.0005475691683256305,0.94,False,2.0346931026260777,0.9049792000005255
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,11,0.0026151701685473523,0.655,False,2.0286609824900594,0.8188592000005883
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,13,0.011259926895778661,0.1,False,2.1856003673183584,0.8273000999997748
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,12,0.010759857996236792,0.43,False,1.9345834095256935,0.8394691000012244
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,14,0.0009841795186384227,0.83,False,2.0432584571052197,0.7951937999987422
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,17,0.002831184007905546,0.725,False,2.0153979618495446,0.8172320000012405
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,18,0.0034969311779708724,0.64,False,1.9657957003909328,0.8206319000000803
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,16,0.007289404810302247,0.175,False,1.949366611490139,0.8304253999995126
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,15,0.0032062929201854646,0.665,False,1.977248860649622,0.8332738999997673
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,19,0.0037962029246539778,0.35,False,2.0154161071389685,0.7941047999993316
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,20,0.019156664822732608,0.095,False,1.8309781348624405,0.827824199999668
"Uniforme(1.0,3.0)",True,20,argmin,1,gauss_1.0,21,0.0019358407567169316,0.715,False,1.885454628514266,0.8176188999987062
