dist,under_h0,n,estimator,q,weight,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,1,gauss_0.5,0.02,0.4376746506986028,0.05517892083725165,3.271899809000033,0.42450654021277023,200,0.009899494936611665
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,1,gauss_1.0,0.025,0.5158982035928144,0.08548248400949664,3.4627779169998667,0.3111099746347583,200,0.011039701082909808
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,1,laplace_1.0,0.025,0.5285129740518962,0.09546244951946711,3.545081997500056,0.3405031019839587,200,0.011039701082909808
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,2,gauss_0.5,0.01,0.447725,0.004561784439994257,0.26398823699986673,0.01917685817993278,200,0.007035623639735145
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,2,gauss_1.0,0.005,0.52595,0.00965473781795346,0.295267968999251,0.03223791054288306,200,0.004987484335815001
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,2,laplace_1.0,0.0,0.546525,0.01502179871096342,0.30901530499941143,0.022408317207903917,200,0.0
"Cauchy(loc=2.0,scale=1.0)",True,20,median,1,gauss_0.5,0.015,0.488275,0.06341899494673484,0.06522186800022606,0.011606489185140696,200,0.008595056718835542
"Cauchy(loc=2.0,scale=1.0)",True,20,median,1,gauss_1.0,0.0,0.53735,0.08495968547028393,0.06780531800017338,0.013324383537859759,200,0.0
"Cauchy(loc=2.0,scale=1.0)",True,20,median,1,laplace_1.0,0.005,0.559825,0.08951405844940549,0.06805275849932509,0.010264009706101298,200,0.004987484335815001
"Cauchy(loc=2.0,scale=1.0)",True,20,median,2,gauss_0.5,0.015,0.484825,0.00743109307637913,0.057290686499836686,0.004855944456155037,200,0.008595056718835542
"Cauchy(loc=2.0,scale=1.0)",True,20,median,2,gauss_1.0,0.0,0.57495,0.012039126797668807,0.05462374500006258,0.006436719897878675,200,0.0
"Cauchy(loc=2.0,scale=1.0)",True,20,median,2,laplace_1.0,0.0,0.560925,0.01670190137881168,0.05936910750060629,0.004948674436554457,200,0.0
"Cauchy(loc=2.0,scale=1.0)",True,20,trimmed,1,gauss_0.5,0.055,0.40935000000000005,0.0863273405576967,0.06999075249994344,0.03612301031650923,200,0.016120638945153507
"Cauchy(loc=2.0,scale=1.0)",True,20,trimmed,1,gauss_1.0,0.055,0.454175,0.1340968330912424,0.061105087999967465,0.005137942907721646,200,0.016120638945153507
"Cauchy(loc=2.0,scale=1.0)",True,20,trimmed,1,laplace_1.0,0.02,0.492325,0.13357121754051443,0.06645146350085265,0.02002235069284807,200,0.009899494936611665
