dist,under_h0,n,estimator,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin_pyomo,0.0,0.645,0.3018691769624717,0.729400844999509,0.02490501517340262,20,0.0
"Cauchy(loc=2.0,scale=1.0)",True,40,argmin_pyomo,0.0,0.6599999999999999,0.3043692247912067,0.936342804999913,0.03292928760268653,20,0.0
"Gamma(k=2.0,s=1.0)",False,20,argmin_pyomo,0.0,0.5650000000000001,0.341000366568718,0.8543963949996396,0.085289575653907,20,0.0
"Gamma(k=2.0,s=1.0)",False,40,argmin_pyomo,0.05,0.4025,0.44667171949878376,0.968485514999702,0.041603944280506254,20,0.04873397172404482
"Pareto(a=3.0,s=1.0)",False,20,argmin_pyomo,0.1,0.3075,0.43044308566870965,1.0465249300001234,0.08374062128704222,20,0.0670820393249937
"Pareto(a=3.0,s=1.0)",False,40,argmin_pyomo,0.4,0.09125,0.640361226184097,1.0407683249995898,0.0940923613564555,20,0.10954451150103323
"Uniforme(1.0,3.0)",True,20,argmin_pyomo,0.0,0.76875,0.2683281572999749,1.919088964999537,0.9991720912678548,20,0.0
"Uniforme(1.0,3.0)",True,40,argmin_pyomo,0.1,0.6900000000000001,0.3162277660168381,0.9984097049999037,0.06730164037327008,20,0.0670820393249937
"Weibull(k=1.5,s=1.0)",False,20,argmin_pyomo,0.0,0.51375,0.341000366568718,0.9225688199998331,0.05212871137167807,20,0.0
"Weibull(k=1.5,s=1.0)",False,40,argmin_pyomo,0.1,0.24625,0.4624831077996256,1.1578676449998966,0.0990470636057123,20,0.0670820393249937
