dist,under_h0,n,estimator,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,argmin,0,0.22360679774997919,0.89,False,2.088554085523635,0.19303149999996094
"Uniforme(1.0,3.0)",True,20,argmin,1,0.22360679774997919,0.9,False,1.972395540816088,0.1874560999995083
"Uniforme(1.0,3.0)",True,20,argmin,2,0.3354101966249684,0.74,False,1.9055104334762503,0.20076779999999417
"Uniforme(1.0,3.0)",True,20,argmin,3,0.670820393249937,0.005,True,2.3132717277469714,0.20090239999990445
"Uniforme(1.0,3.0)",True,20,argmin,4,0.11180339887498959,1.0,False,2.070685742106227,0.19930260000001
"Uniforme(1.0,3.0)",True,20,argmin,5,0.3354101966249685,0.685,False,1.9563993993023274,0.19634289999976318
"Uniforme(1.0,3.0)",True,20,argmin,6,0.3354101966249684,0.605,False,2.024705791046668,0.18587079999997513
"Uniforme(1.0,3.0)",True,20,argmin,7,0.3354101966249685,0.64,False,2.1304747804298945,0.18762599999990925
"Uniforme(1.0,3.0)",True,20,argmin,8,0.3354101966249685,0.605,False,2.065117168737628,0.1927255000000514
"Uniforme(1.0,3.0)",True,20,argmin,9,0.22360679774997919,0.905,False,2.0391125880438903,0.19120290000046225
"Uniforme(1.0,3.0)",True,20,argmin,10,0.670820393249937,0.11,False,1.9467903116094711,0.19134440000016184
"Uniforme(1.0,3.0)",True,20,argmin,11,0.447213595499958,0.19,False,2.104206723354511,0.19140690000040195
"Uniforme(1.0,3.0)",True,20,argmin,12,0.22360679774997919,0.865,False,1.781745544815011,0.18783839999923657
"Uniforme(1.0,3.0)",True,20,argmin,13,0.3354101966249685,0.57,False,1.8900245382889405,0.19262279999929888
"Uniforme(1.0,3.0)",True,20,argmin,14,0.22360679774997894,1.0,False,2.004388800804328,0.1974677000007432
"Uniforme(1.0,3.0)",True,20,argmin,15,0.22360679774997919,0.85,False,1.8542000895788042,0.2071181000001161
"Uniforme(1.0,3.0)",True,20,argmin,16,0.3354101966249685,0.6,False,1.7784450284102826,0.19391670000004524
"Uniforme(1.0,3.0)",True,20,argmin,17,0.22360679774997894,1.0,False,1.9271613239343144,0.2378630000002886
"Uniforme(1.0,3.0)",True,20,argmin,18,0.3354101966249685,0.705,False,1.9334302383502795,0.19651929999963613
"Uniforme(1.0,3.0)",True,20,argmin,19,0.3354101966249685,0.755,False,1.8746121495112291,0.21316200000001118
"Uniforme(1.0,3.0)",True,20,argmin,20,0.3354101966249685,0.805,False,1.9717077997975514,0.19319530000029772
"Uniforme(1.0,3.0)",True,20,argmin,21,0.44721359549995787,0.58,False,1.8110759396455565,0.18721300000015617
"Uniforme(1.0,3.0)",True,20,argmin,22,0.3354101966249685,0.68,False,1.9083102528363776,0.191222899999957
"Uniforme(1.0,3.0)",True,20,argmin,23,0.3354101966249685,0.695,False,2.103578897244171,0.19319459999951505
"Uniforme(1.0,3.0)",True,20,argmin,24,0.44721359549995787,0.45,False,1.9404165443313204,0.1944394000001921
"Uniforme(1.0,3.0)",True,20,argmin,25,0.22360679774997894,0.995,False,1.930760355426399,0.18955880000066827
"Uniforme(1.0,3.0)",True,20,argmin,26,0.3354101966249685,0.65,False,2.149538067816588,0.19018980000055308
"Uniforme(1.0,3.0)",True,20,argmin,27,0.22360679774997905,0.91,False,2.183035270691054,0.1969982999999047
"Uniforme(1.0,3.0)",True,20,argmin,28,0.223606797749979,0.965,False,1.9541250328444926,0.19097679999958928
"Uniforme(1.0,3.0)",True,20,argmin,29,0.5590169943749475,0.065,False,1.6476989623872305,0.1991055000007691
"Uniforme(1.0,3.0)",True,20,argmin,30,0.3354101966249685,0.675,False,2.0060713912185513,0.1970513000005667
"Uniforme(1.0,3.0)",True,20,argmin,31,0.223606797749979,0.97,False,2.1016897597863986,0.19475920000058977
"Uniforme(1.0,3.0)",True,20,argmin,32,0.3354101966249685,0.69,False,2.063490218760638,0.1901028000002043
"Uniforme(1.0,3.0)",True,20,argmin,33,0.22360679774997894,1.0,False,2.046252311185545,0.18612560000019585
"Uniforme(1.0,3.0)",True,20,argmin,34,0.22360679774997894,1.0,False,1.9151700585334879,0.19491719999950874
"Uniforme(1.0,3.0)",True,20,argmin,35,0.3354101966249685,0.605,False,2.083376926550953,0.1939530999998169
"Uniforme(1.0,3.0)",True,20,argmin,36,0.22360679774997905,0.93,False,1.995357930246528,0.2003297000001112
"Uniforme(1.0,3.0)",True,20,argmin,37,0.44721359549995787,0.22,False,1.9475970411849197,0.19532220000019151
"Uniforme(1.0,3.0)",True,20,argmin,38,0.22360679774997905,0.965,False,2.037762294071025,0.1934995000001436
