dist,under_h0,n,estimator,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,0.03,0.665103127079175,0.3529260624487169,0.6810657763333196,0.09054866076164188,300,0.009848857801796104
"Cauchy(loc=2.0,scale=1.0)",True,20,median,0.02666666666666667,0.6159281437125749,0.37118728426496517,0.03791261133331318,0.01485916675457176,300,0.009301533127313934
"Cauchy(loc=2.0,scale=1.0)",True,20,trimmed,0.03666666666666667,0.5821157684630739,0.4528037654437075,0.13792392200001813,0.03598643442615226,300,0.010850840554571832
"Cauchy(loc=2.0,scale=1.0)",True,40,argmin,0.023333333333333334,0.6247970725216234,0.37025000937804786,0.741623162666662,0.13480374408875667,300,0.008715673408461504
"Cauchy(loc=2.0,scale=1.0)",True,40,median,0.016666666666666666,0.6340718562874251,0.3839532125721108,0.036172273000023174,0.010336142805686507,300,0.007391185942027817
"Cauchy(loc=2.0,scale=1.0)",True,40,trimmed,0.02666666666666667,0.5515103127079175,0.48725428280427785,0.14144813033334686,0.021699564147019693,300,0.009301533127313934
"Cauchy(loc=2.0,scale=1.0)",True,80,argmin,0.05333333333333334,0.5715568862275449,0.4978978029899533,0.9273231100000067,0.09955097526036132,300,0.012972906239401265
"Cauchy(loc=2.0,scale=1.0)",True,80,median,0.02,0.6157019294743845,0.40305125294433725,0.04121851866662534,0.008968591950088058,300,0.00808290376865476
"Cauchy(loc=2.0,scale=1.0)",True,80,trimmed,0.043333333333333335,0.5779041916167664,0.4900715650687041,0.14560865600000095,0.02112595776786719,300,0.011755219486899646
"Cauchy(loc=2.0,scale=1.0)",True,160,argmin,0.05,0.6058749168330007,0.4398201179017523,1.3052428979999846,0.17595713911869587,300,0.012583057392117916
"Cauchy(loc=2.0,scale=1.0)",True,160,median,0.03,0.6106786427145708,0.412150188375279,0.049392283333327215,0.012260442489605191,300,0.009848857801796104
"Cauchy(loc=2.0,scale=1.0)",True,160,trimmed,0.07666666666666666,0.5497272122421822,0.5151877354690986,0.15389588299996831,0.04261553782745364,300,0.015361085995559135
"Gamma(k=2.0,s=1.0)",False,20,argmin,0.09,0.49234198270126417,0.3730506742462149,0.6399739693333262,0.08233512290097782,300,0.016522711641858305
