dist,under_h0,n,estimator,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Cauchy(loc=2.0,scale=1.0)",True,20,argmin,0.05,0.6671875,0.35497579142809166,0.21961010999998506,0.018173353823656684,80,0.02436698586202241
"Cauchy(loc=2.0,scale=1.0)",True,20,median,0.0125,0.6380625,0.36615613131559066,0.011961631249971561,0.0009159050497344856,80,0.01242162932146987
"Cauchy(loc=2.0,scale=1.0)",True,20,trimmed,0.0,0.596125,0.44581605301402066,0.04822856500004491,0.002972408146201115,80,0.0
"Cauchy(loc=2.0,scale=1.0)",True,40,argmin,0.0375,0.590625,0.4417306606547705,0.24533433374996322,0.016499819546847778,80,0.021240806834958038
"Cauchy(loc=2.0,scale=1.0)",True,40,median,0.0375,0.5705,0.41208430759069203,0.010903570000004947,0.0004341238723914787,80,0.021240806834958038
"Cauchy(loc=2.0,scale=1.0)",True,40,trimmed,0.0625,0.5569375,0.5029997903205329,0.0450387562500282,0.0039116719534798994,80,0.027063293868263706
"Cauchy(loc=2.0,scale=1.0)",True,80,argmin,0.025,0.590125,0.5436440270296365,0.29706672124996203,0.01836702814490388,80,0.017455300054711177
"Cauchy(loc=2.0,scale=1.0)",True,80,median,0.0625,0.5505625000000001,0.431840628154647,0.014461462500048584,0.006250267607106859,80,0.027063293868263706
"Cauchy(loc=2.0,scale=1.0)",True,80,trimmed,0.05,0.5495625000000001,0.5010189812085468,0.0483623812500241,0.005173781345157533,80,0.02436698586202241
"Gamma(k=2.0,s=1.0)",False,20,argmin,0.1125,0.468875,0.3815290986609016,0.20627125500000149,0.007239258333195818,80,0.03532770690265645
"Gamma(k=2.0,s=1.0)",False,20,median,0.1125,0.521875,0.44581605301402066,0.011169645000006768,0.0007406961017568496,80,0.03532770690265645
"Gamma(k=2.0,s=1.0)",False,20,trimmed,0.025,0.5269375000000001,0.41367257583746114,0.05567141374996254,0.004828831693109452,80,0.017455300054711177
"Gamma(k=2.0,s=1.0)",False,40,argmin,0.2125,0.2803125,0.4634713195684282,0.28018110124996837,0.009782810626482438,80,0.045736165941189254
"Gamma(k=2.0,s=1.0)",False,40,median,0.15,0.302875,0.6156559319640315,0.015896349999968605,0.002028983360071833,80,0.03992179855667828
"Gamma(k=2.0,s=1.0)",False,40,trimmed,0.1625,0.29825,0.5188111786213747,0.06020721500010495,0.00554098731523161,80,0.04124526487974105
"Gamma(k=2.0,s=1.0)",False,80,argmin,0.6125,0.060250000000000005,0.619810092513223,0.3910401537501116,0.14326141966428255,80,0.054468310741200704
"Gamma(k=2.0,s=1.0)",False,80,median,0.35,0.1418125,0.7875151908257073,0.01595295750008745,0.0006422570520776336,80,0.05332682251925385
"Gamma(k=2.0,s=1.0)",False,80,trimmed,0.4125,0.11968749999999999,0.6449658572600957,0.062254574999974464,0.004383519132814291,80,0.05503904863821685
"Pareto(a=3.0,s=1.0)",False,20,argmin,0.3,0.22225,0.49333249753589115,0.26135167374993673,0.044875099298259266,80,0.05123475382979799
"Pareto(a=3.0,s=1.0)",False,20,median,0.4,0.2280625,0.6540498834186885,0.014789731249970827,0.0014894515896283515,80,0.05477225575051661
